Manufacturer Name,Model Number,Description,Maximum Continuous Output Power at Unity Power Factor,Nominal Voltage,Weighted Efficiency,Night Tare Loss,Power Rating. Continuous. 40 deg C,"Night
Tare Loss. 40 deg C",Voltage Minimum,Voltage Nominal,Voltage Maximum,Power Level,Power Level,Power Level,Power Level,Power Level,Power Level,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vnom,Efficiency Vnom,Efficiency Vnom,Efficiency Vnom,Efficiency Vnom,Efficiency Vnom,Efficiency Vnom,Efficiency Vmax,Efficiency Vmax,Efficiency Vmax,Efficiency Vmax,Efficiency Vmax,Efficiency Vmax,Efficiency Vmax
,,,(kW),(Vac),(%),(W),(kW),(W),(Vdc),(Vdc),(Vdc),10% (kW),20% (kW),30% (kW),50% (kW),75% (kW),100% (kW),10% Pwr Lvl (%),20% Pwr Lvl (%),30% Pwr Lvl (%),50% Pwr Lvl (%),75% Pwr Lvl (%),100% Pwr Lvl (%),Wtd (%),10% Pwr Lvl (%),20% Pwr Lvl (%),30% Pwr Lvl (%),50% Pwr Lvl (%),75% Pwr Lvl (%),100% Pwr Lvl (%),Wtd (%),10% Pwr Lvl (%),20% Pwr Lvl (%),30% Pwr Lvl (%),50% Pwr Lvl (%),75% Pwr Lvl (%),100% Pwr Lvl (%),Wtd (%)
Delta Electronics,E8-TL-US(AC) [240V],6500 W. 240 Vac. transformerless. Bi-dierctional. Muti-mode Grid Support Utility Interactive Energy Storage Inverter,6.494,240,98,2.1,,,350,400,480,0.65,1.3,1.95,3.25,4.875,6.5,96.564,97.95338095,98.17309524,98.38247619,98.29619048,98.08561905,98.20258238,95.99409524,97.6827619,98.11819048,98.37119048,98.35938095,98.09228571,98.19112095,95.036,97.14557143,97.74442857,98.11547619,98.17819048,97.91409524,97.92244571
Delta Electronics,E8-TL-US [240V],7680 W. 240 Vac. transformerless. Bi-dierctional. Muti-mode Grid Support Utility Interactive Solar and Energy Storage Inverter,7.68,240,97.5,1.19,,,270,380,480,0.768,1.536,2.304,3.84,5.76,7.68,95.22024476,96.78647652,97.36048434,97.66152787,97.51470674,97.06328333,97.37627133,96.55705827,97.76815417,98.09169357,98.16443529,97.99707522,97.64044328,97.95669671,95.55328057,97.21356261,97.73387302,97.94762189,97.84806943,97.50177996,97.71444051
Delta Electronics,E8 Plus-TL-US [240V],7680 W. 240 Vac Transformerless Grid Support Utility Interactive Hybrid Inverter.,7.715968991,240,97.5,2.72,,,280,380,480,0.771596899,1.543193798,2.314790697,3.857984496,5.786976743,7.715968991,94.85755569,96.60911437,96.81204921,97.01412912,96.92935866,96.68928876,96.82219549,96.13577453,97.48477315,97.79233587,97.8645711,97.77627351,97.64456309,97.70996299,92.94700795,96.8614283,97.40259507,97.66088253,97.6154732,97.50536992,97.36951777
Delta Electronics,E8_BDI [240V],7680 W. 240 Vac. transformerless Grid Support Utility Interactive Hybrid Inverter capable of receiving input from EVSE Box,7.716,240,97.5,2.72,,,280,380,480,0.771596899,1.543193798,2.314790697,3.857984496,5.786976743,7.715968991,94.85755569,96.60911437,96.81204921,97.01412912,96.92935866,96.68928876,96.82219549,96.13577453,97.48477315,97.79233587,97.8645711,97.77627351,97.64456309,97.70996299,92.94700795,96.8614283,97.40259507,97.66088253,97.6154732,97.50536992,97.36951777
Delta Electronics,E8 Plus-TL-US(AC) [240V],7680 W. 240 Vac Transformerless Grid Support Utility Interactive Energy Storage Inverter.,7.72,240,98,3.21,,,350,400,480,0.772,1.544,2.316,3.86,5.79,7.72,96.93072548,97.96526628,98.22767896,98.33893482,98.24076036,98.09400066,98.18629315,96.21372857,97.69275179,98.02624028,98.20545785,98.13804825,97.96954315,98.03112444,94.87140107,97.06221102,97.6391482,97.95083551,97.94773721,97.78399798,97.73584045
Delta Electronics,E10-TL-US(AC) [240V],9600 W. 240 Vac. transformerless Grid Support Utility Interactive Energy Storage Inverter,9.6318,240,98,3.14,,,350,400,480,0.96318,1.92636,2.88954,4.8159,7.22385,9.6318,97.23512674,98.12565402,98.29556513,98.27530994,98.11283114,97.87314796,98.12242858,96.7547152,97.88735799,98.25764021,98.16306854,98.0355789,97.79521523,98.0183353,95.7886265,97.39951918,97.81565019,97.96728331,97.88090383,97.63891353,97.77135324
Delta Electronics,E10_BDI [240V],9600 W. 240 Vac. transformerless Grid Support Utility Interactive Hybrid Inverter capable of receiving input from EVSE Box,9.674,240,97.5,1.38,,,280,380,480,0.96742,1.93484,2.90226,4.8371,7.25565,9.6742,96.07409524,97.0987619,97.36152381,97.49252381,97.32104762,96.99757143,97.28474857,97.04395238,97.7732381,97.92690476,97.8347619,97.60614286,97.36661905,97.66653524,96.15509524,97.37795238,97.67571429,97.7252381,97.49704762,97.26009524,97.49492714
Delta Electronics,E10-TL-US [240V],9600 W. 240 Vac. transformerless Grid Support Utility Interactive Solar and Energy Storage Inverter,9.674,240,97.5,1.38,,,280,380,480,0.96742,1.93484,2.90226,4.8371,7.25565,9.6742,96.07409524,97.0987619,97.36152381,97.49252381,97.32104762,96.99757143,97.28474857,97.04395238,97.7732381,97.92690476,97.8347619,97.60614286,97.36661905,97.66653524,96.15509524,97.37795238,97.67571429,97.7252381,97.49704762,97.26009524,97.49492714
Enphase Energy Inc.,IQ8X-BAT-US [240V],315 VA. 240 V. Grid Support Utility Interactive Microinverter for use in Enphase's energy storage system,0.318,240,96.5,0.024,,,52.5,63,73.5,0.0317757,0.0635514,0.0953271,0.1588785,0.23831775,0.317757,88.11941708,93.97119519,96.15464233,97.39973134,97.48278596,97.20077842,96.74175258,87.77117233,93.41224892,95.68728342,97.19951358,97.43678455,97.2642303,96.58053853,87.06936914,92.80864764,95.29292723,96.99578322,97.30870908,97.17521956,96.35984968
Enphase Energy Inc.,IQ8X-BAT-US-NB [240V],315 VA. 240 V. Grid Support Utility Interactive Microinverter for use in Enphase's storage system,0.318,240,96.5,0.024,,,52.5,63,73.5,0.0317757,0.0635514,0.0953271,0.1588785,0.23831775,0.317757,88.11941708,93.97119519,96.15464233,97.39973134,97.48278596,97.20077842,96.74175258,87.77117233,93.41224892,95.68728342,97.19951358,97.43678455,97.2642303,96.58053853,87.06936914,92.80864764,95.29292723,96.99578322,97.30870908,97.17521956,96.35984968
